Unnamed: 0,subtitle,sq_mt_built,sq_mt_useful,n_rooms,n_bathrooms,floor,neighborhood_id,rent_price,buy_price,buy_price_by_area,house_type_id,is_renewal_needed,is_new_development,built_year,has_central_heating,has_individual_heating,has_ac,has_fitted_wardrobes,has_lift,is_exterior,has_garden,has_pool,has_terrace,has_balcony,has_storage_room,is_accessible,has_green_zones,energy_certificate,has_parking,is_parking_included_in_price,parking_price,is_orientation_north,is_orientation_west,is_orientation_south,is_orientation_east,built_usable_diff
4942,"Puente de Vallecas, Madrid",22.0,22.0,0,1.0,0,Neighborhood 89: San Diego (2007.79 €/m2) - District 13: Puente de Vallecas,368,63990,2909,apartment,0,1,2020.0,1,1,1,1,1,1,1,1,1,1,1,1,1,en trámite,0,1,,1,1,1,1,
4943,"Numancia, Madrid",85.0,70.0,2,1.0,8,Neighborhood 90: Numancia (2081.94 €/m2) - District 13: Puente de Vallecas,1250,320000,3765,penthouse,0,0,1977.0,0,1,1,1,1,1,1,1,1,1,1,1,1,en trámite,1,1,0.0,0,0,1,0,15.0
4944,"Numancia, Madrid",106.0,97.0,3,1.0,4,Neighborhood 90: Numancia (2081.94 €/m2) - District 13: Puente de Vallecas,666,130000,1226,apartment,0,0,1981.0,0,1,1,1,1,1,1,1,1,1,1,1,1,en trámite,0,1,,1,1,1,1,9.0
4945,"Puente de Vallecas, Madrid",125.0,99.0,4,2.0,2,Neighborhood 87: Palomeras sureste (2076.58 €/m2) - District 13: Puente de Vallecas,684,134600,1077,apartment,0,0,1984.0,0,1,1,1,1,1,1,1,1,1,1,1,1,no indicado,0,1,,0,0,0,1,26.0
4946,"San Diego, Madrid",60.0,43.71764540205605,2,1.0,3,Neighborhood 89: San Diego (2007.79 €/m2) - District 13: Puente de Vallecas,579,109000,1817,apartment,0,0,1977.0,0,1,1,1,0,1,1,1,1,1,1,1,1,en trámite,0,1,,1,1,1,1,
4947,"Puente de Vallecas, Madrid",118.0,90.0,1,1.0,0,Neighborhood 85: Entrevías (1574.36 €/m2) - District 13: Puente de Vallecas,1067,250000,2119,apartment,0,0,1977.0,0,1,1,1,0,1,1,1,1,1,1,1,1,A,1,1,0.0,1,1,1,1,28.0
4948,"San Diego, Madrid",55.0,38.71764540205605,2,1.0,0,Neighborhood 89: San Diego (2007.79 €/m2) - District 13: Puente de Vallecas,442,79000,1436,apartment,1,0,1977.0,1,1,1,1,0,0,1,1,1,1,1,1,1,en trámite,0,1,,1,1,1,1,
4949,"Portazgo, Madrid",47.0,30.71764540205605,2,1.0,2,Neighborhood 88: Portazgo (1896.75 €/m2) - District 13: Puente de Vallecas,587,111000,2362,apartment,0,1,2020.0,1,1,1,1,0,1,1,1,1,1,1,1,1,G,0,1,,1,1,1,1,
4950,"Portazgo, Madrid",155.0,126.89112903225806,3,2.0,0,Neighborhood 88: Portazgo (1896.75 €/m2) - District 13: Puente de Vallecas,979,220000,1419,duplex,1,0,1950.0,0,1,1,1,0,1,1,1,1,1,1,1,1,en trámite,0,1,,1,1,0,0,
4951,"Entrevías, Madrid",35.0,18.71764540205605,1,1.0,0,Neighborhood 85: Entrevías (1574.36 €/m2) - District 13: Puente de Vallecas,347,60000,1714,apartment,1,0,1977.0,1,1,1,1,0,1,1,1,1,1,1,1,1,en trámite,0,1,,1,1,1,1,
4952,"Palomeras sureste, Madrid",95.0,85.0,2,2.0,6,Neighborhood 87: Palomeras sureste (2076.58 €/m2) - District 13: Puente de Vallecas,1009,230000,2421,apartment,0,0,2006.0,1,1,1,1,1,1,1,1,1,1,1,1,1,G,1,1,0.0,1,1,1,1,10.0
4953,"San Diego, Madrid",62.0,45.71764540205605,3,1.0,3,Neighborhood 89: San Diego (2007.79 €/m2) - District 13: Puente de Vallecas,539,100000,1613,apartment,1,0,1985.0,0,1,1,1,0,1,1,1,1,1,1,1,1,en trámite,0,1,,0,1,0,0,
4954,"Numancia, Madrid",63.0,46.71764540205605,3,1.0,5,Neighborhood 90: Numancia (2081.94 €/m2) - District 13: Puente de Vallecas,547,101700,1614,apartment,0,0,1977.0,1,1,1,1,0,1,1,1,1,1,1,1,1,F,0,1,,1,1,1,1,
4955,"Numancia, Madrid",63.0,46.71764540205605,3,1.0,5,Neighborhood 90: Numancia (2081.94 €/m2) - District 13: Puente de Vallecas,547,101700,1614,apartment,0,1,2020.0,1,1,1,1,0,1,1,1,1,1,1,1,1,F,0,1,,1,1,1,1,
4956,"Palomeras sureste, Madrid",56.0,51.0,3,1.0,0,Neighborhood 87: Palomeras sureste (2076.58 €/m2) - District 13: Puente de Vallecas,615,117500,2098,apartment,1,0,1960.0,1,1,1,1,1,0,1,1,1,1,1,1,1,F,0,1,,1,1,1,1,5.0
4957,"Portazgo, Madrid",40.0,23.71764540205605,2,1.0,0,Neighborhood 88: Portazgo (1896.75 €/m2) - District 13: Puente de Vallecas,398,70000,1750,apartment,1,0,1977.0,1,1,1,1,0,0,1,1,1,1,1,1,1,en trámite,0,1,,1,1,1,1,
4958,"San Diego, Madrid",59.0,50.0,1,1.0,1,Neighborhood 89: San Diego (2007.79 €/m2) - District 13: Puente de Vallecas,662,129000,2186,apartment,0,0,1998.0,0,1,1,1,0,1,1,1,1,1,1,1,1,en trámite,0,1,,0,1,1,0,9.0
4959,"Puente de Vallecas, Madrid",130.0,113.71764540205605,4,2.0,8,Neighborhood 87: Palomeras sureste (2076.58 €/m2) - District 13: Puente de Vallecas,1197,299000,2300,apartment,0,0,1977.0,1,1,1,1,1,1,1,1,1,1,1,1,1,en trámite,0,1,,1,1,1,1,
4960,"Puente de Vallecas, Madrid",43.0,26.71764540205605,1,1.0,0,Neighborhood 89: San Diego (2007.79 €/m2) - District 13: Puente de Vallecas,517,95000,2209,apartment,0,0,1977.0,1,1,1,1,0,1,1,1,1,1,1,1,1,en trámite,0,1,,1,1,1,1,
4961,"Puente de Vallecas, Madrid",94.0,77.71764540205605,3,2.0,4,Neighborhood 88: Portazgo (1896.75 €/m2) - District 13: Puente de Vallecas,847,179000,1904,apartment,0,0,1977.0,1,1,1,1,1,1,1,1,1,1,1,1,1,en trámite,0,1,,1,1,1,1,
4962,"Puente de Vallecas, Madrid",94.0,77.71764540205605,3,2.0,4,Neighborhood 87: Palomeras sureste (2076.58 €/m2) - District 13: Puente de Vallecas,850,179900,1914,apartment,0,0,1977.0,1,1,1,1,1,1,1,1,1,1,1,1,1,en trámite,0,1,,1,1,1,1,
4963,"Puente de Vallecas, Madrid",50.0,33.71764540205605,3,1.0,2,Neighborhood 90: Numancia (2081.94 €/m2) - District 13: Puente de Vallecas,539,99900,1998,apartment,0,0,1977.0,1,1,1,1,0,1,1,1,1,1,1,1,1,en trámite,0,1,,1,1,1,1,
